id,building,x,y,status,type,size,manufacturer,lastInspection,nextDue
1-001,1,6253,4423,good,CO2,5kg,Amerex,12/15/2024,1/15/2025
1-002,1,5990,4337,inspection_due_soon,Foam,9L,Kidde,11/20/2024,1/20/2025
1-003,1,6725,4292,overdue,Powder,6kg,FirePower,10/10/2024,12/10/2024
1-004,1,6663,4201,maintenance_required,CO2,2kg,Amerex,11/30/2024,1/30/2025
1-005,1,6826,4137,good,Foam,9L,Kidde,12/10/2024,2/10/2025
1-006,1,6934,4231,good,Powder,6kg,FirePower,12/5/2024,2/5/2025
1-007,1,7175,4110,inspection_due_soon,CO2,5kg,Amerex,11/15/2024,1/15/2025
1-008,1,7099,3280,good,Foam,9L,Kidde,12/12/2024,2/12/2025
1-009,1,7346,3117,overdue,Powder,6kg,FirePower,9/20/2024,11/20/2024
1-010,1,7032,3008,good,CO2,2kg,Amerex,12/8/2024,2/8/2025
1-011,1,6483,2965,maintenance_required,Foam,9L,Kidde,11/25/2024,1/25/2025
1-012,1,5884,2969,good,Powder,6kg,FirePower,12/14/2024,2/14/2025
1-013,1,6102,3136,inspection_due_soon,CO2,5kg,Amerex,11/18/2024,1/18/2025
1-014,1,6168,3136,good,Foam,9L,Kidde,12/11/2024,2/11/2025
1-015,1,6259,3121,overdue,Powder,6kg,FirePower,10/5/2024,12/5/2024
1-016,1,6356,3136,good,CO2,2kg,Amerex,12/13/2024,2/13/2025
1-017,1,6460,3132,good,CO3,5kg,Amerex,12/15/2024,1/15/2025
1-018,1,6473,3286,inspection_due_soon,Foam,9L,Kidde,11/20/2024,1/20/2025
1-019,1,6397,3285,overdue,Powder,6kg,FirePower,10/10/2024,12/10/2024
1-020,1,6311,3284,maintenance_required,CO3,2kg,Amerex,11/30/2024,1/30/2025
1-021,1,6223,3284,good,Foam,9L,Kidde,12/10/2024,2/10/2025
1-022,1,6144,3283,good,Powder,6kg,FirePower,12/5/2024,2/5/2025
1-023,1,5885,3319,inspection_due_soon,CO3,5kg,Amerex,11/15/2024,1/15/2025
1-024,1,5787,3442,good,Foam,9L,Kidde,12/12/2024,2/12/2025
1-025,1,5884,3446,overdue,Powder,6kg,FirePower,9/20/2024,11/20/2024
1-026,1,6164,3564,good,CO3,2kg,Amerex,12/8/2024,2/8/2025
1-027,1,6225,3567,maintenance_required,Foam,9L,Kidde,11/25/2024,1/25/2025
1-028,1,6293,3568,good,Powder,6kg,FirePower,12/14/2024,2/14/2025
1-029,1,6352,3568,inspection_due_soon,CO3,5kg,Amerex,11/18/2024,1/18/2025
1-030,1,6408,3568,good,Foam,9L,Kidde,12/11/2024,2/11/2025
1-031,1,6512,3443,overdue,Powder,6kg,FirePower,10/5/2024,12/5/2024
1-032,1,6469,3567,good,CO3,2kg,Amerex,12/13/2024,2/13/2025
1-033,1,6619,3398,good,CO4,5kg,Amerex,12/15/2024,1/15/2025
1-034,1,6554,3559,inspection_due_soon,Foam,9L,Kidde,11/20/2024,1/20/2025
1-035,1,6672,3582,overdue,Powder,6kg,FirePower,10/10/2024,12/10/2024
1-036,1,6469,3677,maintenance_required,CO4,2kg,Amerex,11/30/2024,1/30/2025
1-037,1,6409,3676,good,Foam,9L,Kidde,12/10/2024,2/10/2025
1-038,1,6351,3677,good,Powder,6kg,FirePower,12/5/2024,2/5/2025
1-039,1,6295,3678,inspection_due_soon,CO4,5kg,Amerex,11/15/2024,1/15/2025
1-040,1,5941,3613,good,Foam,9L,Kidde,12/12/2024,2/12/2025
1-041,1,5306,3557,overdue,Powder,6kg,FirePower,9/20/2024,11/20/2024
1-042,1,5479,3782,good,CO4,2kg,Amerex,12/8/2024,2/8/2025
1-043,1,5307,3906,maintenance_required,Foam,9L,Kidde,11/25/2024,1/25/2025
